coin,status,z_score,mean_price,std_price,batch_id
binancecoin,normal,0.8846,603.4953,0.6157,27
bitcoin,normal,0.7262,65054.6,72.1515,27
cardano,ANOMALIE,8.139,0.2678,0.0003,27
ethereum,normal,0.7841,1902.996,3.8696,27
solana,normal,1.4667,80.8873,0.07,27
binancecoin,normal,0.8363,603.5294,0.6106,28
bitcoin,normal,0.6919,65057.875,71.0025,28
cardano,ANOMALIE,7.8081,0.2678,0.0003,28
ethereum,normal,0.745,1903.1856,3.818,28
solana,normal,1.3333,80.8938,0.0722,28
binancecoin,normal,0.3963,603.5441,0.5953,33
bitcoin,normal,0.4631,65059.8824,69.349,33
cardano,ANOMALIE,6.8241,0.2679,0.0003,33
ethereum,normal,0.5917,1903.3241,3.7452,33
solana,normal,1.562,80.9012,0.0761,33
binancecoin,normal,0.3834,603.5572,0.581,34
bitcoin,normal,0.4474,65061.6667,67.7954,34
cardano,ANOMALIE,6.2376,0.2679,0.0003,34
ethereum,normal,0.5695,1903.4472,3.6749,34
solana,normal,1.4245,80.9078,0.0788,34
binancecoin,normal,0.3718,603.5689,0.5677,35
bitcoin,normal,0.4332,65063.2632,66.334,35
cardano,ANOMALIE,5.8488,0.2679,0.0004,35
ethereum,normal,0.5496,1903.5574,3.6073,35
solana,normal,1.3179,80.9137,0.0807,35
binancecoin,normal,0.3611,603.5795,0.5552,36
bitcoin,normal,0.4203,65064.7,64.957,36
cardano,ANOMALIE,5.5743,0.268,0.0004,36
ethereum,normal,0.5317,1903.6565,3.5424,36
solana,normal,1.2322,80.919,0.082,36
binancecoin,normal,0.5417,603.5943,0.5459,41
bitcoin,normal,0.0796,65064.9524,63.4016,41
cardano,ANOMALIE,5.3724,0.268,0.0004,41
ethereum,normal,0.0533,1903.6657,3.4573,41
solana,normal,1.053,80.9233,0.0823,41
binancecoin,normal,0.5258,603.6077,0.5369,42
bitcoin,normal,0.0778,65065.1818,61.9528,42
cardano,ANOMALIE,5.2198,0.268,0.0004,42
ethereum,normal,0.0521,1903.6741,3.378,42
solana,normal,1.0038,80.9273,0.0824,42
